detectorType,descriptorType,imageIndex,detectorTime,descriptorTime,detectedKpts,matchedKpts,totalTime
SHITOMASI,BRISK,0,20.2799,1.57019,1370,0,21.8501
SHITOMASI,BRISK,1,23.275,2.30146,1301,95,25.5765
SHITOMASI,BRISK,2,18.1777,2.31692,1361,88,20.4946
SHITOMASI,BRISK,3,17.3275,2.28069,1358,80,19.6082
SHITOMASI,BRISK,4,17.7136,2.34461,1333,90,20.0582
SHITOMASI,BRISK,5,15.5658,1.41979,1284,82,16.9856
SHITOMASI,BRISK,6,12.7759,2.23754,1322,79,15.0134
SHITOMASI,BRISK,7,17.8485,2.27724,1366,85,20.1257
SHITOMASI,BRISK,8,15.6596,1.42061,1389,86,17.0802
SHITOMASI,BRISK,9,13.1578,2.17172,1339,82,15.3295
SHITOMASI,BRIEF,0,22.6612,4.16262,1370,0,26.8238
SHITOMASI,BRIEF,1,18.4985,1.3719,1301,115,19.8704
SHITOMASI,BRIEF,2,19.5303,1.29278,1361,111,20.823
SHITOMASI,BRIEF,3,17.8686,1.33258,1358,104,19.2012
SHITOMASI,BRIEF,4,18.1851,1.31766,1333,101,19.5028
SHITOMASI,BRIEF,5,17.1458,1.26732,1284,102,18.4131
SHITOMASI,BRIEF,6,16.3884,1.26725,1322,102,17.6557
SHITOMASI,BRIEF,7,17.5427,1.29668,1366,100,18.8394
SHITOMASI,BRIEF,8,17.4538,1.28977,1389,109,18.7436
SHITOMASI,BRIEF,9,17.4489,1.32599,1339,100,18.7749
SHITOMASI,ORB,0,23.0752,2.97641,1370,0,26.0516
SHITOMASI,ORB,1,19.1332,1.31404,1301,106,20.4473
SHITOMASI,ORB,2,18.7926,1.01336,1361,102,19.806
SHITOMASI,ORB,3,17.7955,1.01193,1358,99,18.8074
SHITOMASI,ORB,4,18.2126,1.01741,1333,102,19.23
SHITOMASI,ORB,5,18.834,0.994203,1284,103,19.8282
SHITOMASI,ORB,6,18.1108,1.01201,1322,97,19.1228
SHITOMASI,ORB,7,16.4788,1.06147,1366,98,17.5403
SHITOMASI,ORB,8,18.1213,1.00619,1389,104,19.1275
SHITOMASI,ORB,9,17.7513,0.989456,1339,97,18.7407
SHITOMASI,FREAK,0,22.776,45.1578,1370,0,67.9338
SHITOMASI,FREAK,1,17.4084,41.2336,1301,86,58.642
SHITOMASI,FREAK,2,17.9067,43.0047,1361,90,60.9114
SHITOMASI,FREAK,3,12.8498,43.5838,1358,86,56.4337
SHITOMASI,FREAK,4,12.5098,42.903,1333,88,55.4128
SHITOMASI,FREAK,5,11.9014,42.3474,1284,86,54.2488
SHITOMASI,FREAK,6,11.8758,42.6272,1322,80,54.503
SHITOMASI,FREAK,7,12.4109,42.5989,1366,81,55.0099
SHITOMASI,FREAK,8,12.0061,42.7186,1389,86,54.7246
SHITOMASI,FREAK,9,11.8227,42.3019,1339,85,54.1246
SHITOMASI,SIFT,0,22.1632,26.3734,1370,0,48.5366
SHITOMASI,SIFT,1,12.1013,18.5277,1301,112,30.629
SHITOMASI,SIFT,2,17.0278,24.6902,1361,109,41.7179
SHITOMASI,SIFT,3,16.1717,21.766,1358,104,37.9378
SHITOMASI,SIFT,4,12.2107,19.1005,1333,103,31.3112
SHITOMASI,SIFT,5,12.3069,22.5631,1284,99,34.8699
SHITOMASI,SIFT,6,12.1766,22.7339,1322,101,34.9104
SHITOMASI,SIFT,7,16.0666,22.3499,1366,96,38.4165
SHITOMASI,SIFT,8,12.089,19.1849,1389,106,31.2739
SHITOMASI,SIFT,9,15.605,21.8422,1339,97,37.4472
HARRIS,BRISK,0,23.9319,0.553667,115,0,24.4856
HARRIS,BRISK,1,20.3811,1.26234,98,12,21.6434
HARRIS,BRISK,2,17.8629,1.33667,113,10,19.1996
HARRIS,BRISK,3,17.7213,1.35701,121,14,19.0783
HARRIS,BRISK,4,18.8484,1.37039,160,15,20.2188
HARRIS,BRISK,5,31.516,1.55181,383,16,33.0678
HARRIS,BRISK,6,16.872,1.29576,85,16,18.1677
HARRIS,BRISK,7,19.6033,1.56539,210,15,21.1687
HARRIS,BRISK,8,18.802,1.41784,171,23,20.2199
HARRIS,BRISK,9,23.3998,1.483,281,21,24.8828
HARRIS,BRIEF,0,22.0163,0.329636,115,0,22.3459
HARRIS,BRIEF,1,17.6579,0.921737,98,14,18.5797
HARRIS,BRIEF,2,19.2861,1.04549,113,11,20.3316
HARRIS,BRIEF,3,18.6173,1.02463,121,15,19.6419
HARRIS,BRIEF,4,19.858,1.09369,160,20,20.9517
HARRIS,BRIEF,5,34.6408,1.34941,383,24,35.9902
HARRIS,BRIEF,6,17.6836,1.02792,85,26,18.7115
HARRIS,BRIEF,7,20.4087,1.04667,210,16,21.4554
HARRIS,BRIEF,8,18.7788,1.02395,171,24,19.8028
HARRIS,BRIEF,9,23.1681,1.20342,281,23,24.3715
HARRIS,ORB,0,22.5723,0.92819,115,0,23.5005
HARRIS,ORB,1,18.1373,1.0642,98,12,19.2015
HARRIS,ORB,2,20.596,1.03974,113,12,21.6357
HARRIS,ORB,3,18.1887,0.976492,121,15,19.1652
HARRIS,ORB,4,19.8272,1.06197,160,18,20.8892
HARRIS,ORB,5,34.0677,0.895729,383,24,34.9634
HARRIS,ORB,6,17.1617,0.836466,85,20,17.9982
HARRIS,ORB,7,19.4242,0.840481,210,15,20.2647
HARRIS,ORB,8,19.3828,0.847725,171,24,20.2306
HARRIS,ORB,9,20.2188,1.02573,281,22,21.2445
HARRIS,FREAK,0,22.954,42.2864,115,0,65.2403
HARRIS,FREAK,1,17.1189,42.7209,98,13,59.8398
HARRIS,FREAK,2,15.1611,42.8953,113,13,58.0563
HARRIS,FREAK,3,12.9452,41.9551,121,15,54.9003
HARRIS,FREAK,4,16.1829,41.7898,160,15,57.9728
HARRIS,FREAK,5,27.6434,45.4046,383,17,73.048
HARRIS,FREAK,6,14.6063,41.5789,85,20,56.1852
HARRIS,FREAK,7,14.383,41.6241,210,12,56.0071
HARRIS,FREAK,8,13.9119,42.0567,171,21,55.9686
HARRIS,FREAK,9,18.1157,43.2576,281,18,61.3733
HARRIS,SIFT,0,22.0017,24.0398,115,0,46.0414
HARRIS,SIFT,1,18.0449,21.1895,98,14,39.2344
HARRIS,SIFT,2,25.6052,22.1621,113,11,47.7673
HARRIS,SIFT,3,17.5365,21.5422,121,16,39.0787
HARRIS,SIFT,4,19.9944,22.4848,160,19,42.4792
HARRIS,SIFT,5,31.1336,23.5633,383,22,54.6969
HARRIS,SIFT,6,16.5783,21.2044,85,22,37.7828
HARRIS,SIFT,7,20.1979,24.2267,210,13,44.4245
HARRIS,SIFT,8,18.6857,26.2582,171,24,44.944
HARRIS,SIFT,9,23.1969,23.6509,281,22,46.8478
FAST,BRISK,0,1.18863,2.7345,1824,0,3.92313
FAST,BRISK,1,1.42665,2.67453,1832,97,4.10119
FAST,BRISK,2,1.07161,2.64312,1810,104,3.71473
FAST,BRISK,3,0.882494,1.82016,1817,101,2.70265
FAST,BRISK,4,0.982741,1.74471,1793,98,2.72745
FAST,BRISK,5,1.03209,1.75109,1796,85,2.78318
FAST,BRISK,6,1.06659,1.80231,1788,107,2.8689
FAST,BRISK,7,0.94342,1.99763,1695,107,2.94105
FAST,BRISK,8,1.06048,1.64805,1749,100,2.70853
FAST,BRISK,9,1.00928,2.65557,1770,100,3.66484
FAST,BRIEF,0,1.07117,1.87933,1824,0,2.9505
FAST,BRIEF,1,1.86937,1.83455,1832,119,3.70392
FAST,BRIEF,2,0.955541,1.39859,1810,130,2.35413
FAST,BRIEF,3,1.39039,1.068,1817,118,2.45839
FAST,BRIEF,4,0.955792,1.50601,1793,126,2.4618
FAST,BRIEF,5,1.42566,1.25438,1796,108,2.68004
FAST,BRIEF,6,1.00375,0.806305,1788,123,1.81005
FAST,BRIEF,7,0.960712,0.788154,1695,131,1.74887
FAST,BRIEF,8,1.02016,1.20688,1749,125,2.22704
FAST,BRIEF,9,0.993701,1.35899,1770,119,2.35269
FAST,ORB,0,1.14329,1.54869,1824,0,2.69198
FAST,ORB,1,1.32897,1.3965,1832,118,2.72547
FAST,ORB,2,0.893343,1.0891,1810,123,1.98244
FAST,ORB,3,1.41471,1.13375,1817,112,2.54846
FAST,ORB,4,0.969239,1.12978,1793,126,2.09902
FAST,ORB,5,0.954668,1.03393,1796,106,1.9886
FAST,ORB,6,0.97296,1.06186,1788,122,2.03482
FAST,ORB,7,0.937082,1.0123,1695,122,1.94938
FAST,ORB,8,1.05089,1.03884,1749,123,2.08973
FAST,ORB,9,0.963897,0.995279,1770,119,1.95918
FAST,FREAK,0,1.10721,51.3413,1824,0,52.4485
FAST,FREAK,1,1.48656,47.3631,1832,98,48.8497
FAST,FREAK,2,0.962561,42.5715,1810,99,43.5341
FAST,FREAK,3,1.40011,48.5995,1817,91,49.9996
FAST,FREAK,4,1.40871,45.3568,1793,98,46.7655
FAST,FREAK,5,0.999216,41.1656,1796,85,42.1649
FAST,FREAK,6,1.41024,43.7276,1788,99,45.1379
FAST,FREAK,7,0.990608,40.9278,1695,102,41.9184
FAST,FREAK,8,0.997069,44.1747,1749,101,45.1717
FAST,FREAK,9,0.957556,40.8727,1770,105,41.8303
FAST,SIFT,0,1.14458,39.9716,1824,0,41.1162
FAST,SIFT,1,1.41166,36.9114,1832,118,38.3231
FAST,SIFT,2,1.65168,35.8587,1810,123,37.5103
FAST,SIFT,3,1.02163,37.4827,1817,110,38.5043
FAST,SIFT,4,1.41576,35.1488,1793,119,36.5645
FAST,SIFT,5,1.37179,47.9025,1796,114,49.2743
FAST,SIFT,6,1.40667,37.7659,1788,119,39.1726
FAST,SIFT,7,0.998169,36.6752,1695,123,37.6734
FAST,SIFT,8,1.38813,39.9129,1749,117,41.3011
FAST,SIFT,9,0.991283,33.9409,1770,103,34.9322
BRISK,BRISK,0,49.6021,3.85506,2757,0,53.4572
BRISK,BRISK,1,42.171,3.15511,2777,171,45.3262
BRISK,BRISK,2,42.9811,3.21163,2741,176,46.1928
BRISK,BRISK,3,41.0742,3.12732,2735,157,44.2015
BRISK,BRISK,4,41.43,3.27888,2757,176,44.7089
BRISK,BRISK,5,41.2975,3.13746,2695,174,44.4349
BRISK,BRISK,6,41.0064,3.22947,2715,188,44.2359
BRISK,BRISK,7,40.7414,3.00568,2628,173,43.7471
BRISK,BRISK,8,40.8873,3.00587,2639,171,43.8932
BRISK,BRISK,9,42.4784,2.83515,2672,184,45.3135
BRISK,BRIEF,0,43.7269,2.0669,2757,0,45.7938
BRISK,BRIEF,1,42.2115,1.12947,2777,178,43.3409
BRISK,BRIEF,2,42.2645,1.11986,2741,205,43.3844
BRISK,BRIEF,3,40.9825,1.12334,2735,185,42.1059
BRISK,BRIEF,4,41.785,1.24366,2757,179,43.0286
BRISK,BRIEF,5,41.3018,1.17749,2695,183,42.4793
BRISK,BRIEF,6,41.8903,1.23827,2715,195,43.1286
BRISK,BRIEF,7,41.9953,1.15917,2628,207,43.1544
BRISK,BRIEF,8,40.732,1.08306,2639,189,41.815
BRISK,BRIEF,9,40.7285,1.11144,2672,183,41.84
BRISK,ORB,0,43.7217,6.17904,2757,0,49.9007
