detectorType,descriptorType,imageIndex,detectorTime,descriptorTime,detectedKptsROI,matchedKpts,totalTime
SHITOMASI,BRISK,0,19.9977,1.75205,125,0,21.7498
SHITOMASI,BRISK,1,22.179,2.59096,118,95,24.77
SHITOMASI,BRISK,2,21.2652,2.57678,123,88,23.8419
SHITOMASI,BRISK,3,20.679,2.59503,120,80,23.2741
SHITOMASI,BRISK,4,19.0289,2.61973,120,90,21.6487
SHITOMASI,BRISK,5,19.1747,2.74277,113,82,21.9175
SHITOMASI,BRISK,6,24.0089,2.51016,114,79,26.519
SHITOMASI,BRISK,7,20.3724,2.69628,123,85,23.0687
SHITOMASI,BRISK,8,19.2269,2.46475,111,86,21.6917
SHITOMASI,BRISK,9,18.8863,2.50305,112,82,21.3893
HARRIS,BRISK,0,24.654,0.541176,17,0,25.1951
HARRIS,BRISK,1,21.4456,1.42526,14,12,22.8708
HARRIS,BRISK,2,21.6679,1.45765,18,10,23.1255
HARRIS,BRISK,3,20.9289,1.63469,21,14,22.5636
HARRIS,BRISK,4,22.0215,1.55042,26,15,23.5719
HARRIS,BRISK,5,36.7714,0.798877,43,16,37.5703
HARRIS,BRISK,6,21.8537,1.448,18,16,23.3017
HARRIS,BRISK,7,24.8635,1.85896,31,15,26.7224
HARRIS,BRISK,8,23.6435,2.0349,26,23,25.6784
HARRIS,BRISK,9,34.5233,1.64375,34,21,36.1671
FAST,BRISK,0,0.991701,3.19822,149,0,4.18992
FAST,BRISK,1,1.39019,2.97439,152,97,4.36457
FAST,BRISK,2,1.26056,2.60469,150,104,3.86524
FAST,BRISK,3,1.03005,2.09345,155,101,3.12349
FAST,BRISK,4,1.06622,2.98178,149,98,4.048
FAST,BRISK,5,1.24917,2.70252,149,85,3.95169
FAST,BRISK,6,1.27181,1.96721,156,107,3.23902
FAST,BRISK,7,1.07322,2.9042,150,107,3.97742
FAST,BRISK,8,1.28716,1.8038,138,100,3.09096
FAST,BRISK,9,0.979857,2.87977,143,100,3.85963
BRISK,BRISK,0,56.8278,4.77023,264,0,61.598
BRISK,BRISK,1,50.5201,3.5689,282,171,54.089
BRISK,BRISK,2,50.4096,3.74386,282,176,54.1534
BRISK,BRISK,3,50.2883,3.55365,277,157,53.8419
BRISK,BRISK,4,50.503,5.50738,297,176,56.0104
BRISK,BRISK,5,50.4567,3.65502,279,174,54.1117
BRISK,BRISK,6,49.5319,5.45447,289,188,54.9864
BRISK,BRISK,7,47.0601,3.47183,272,173,50.5319
BRISK,BRISK,8,75.4735,3.4028,266,171,78.8763
BRISK,BRISK,9,50.3303,3.90652,254,184,54.2368
ORB,BRISK,0,25.2025,2.46512,92,0,27.6676
ORB,BRISK,1,8.76019,1.52726,102,73,10.2875
ORB,BRISK,2,9.22462,1.48045,106,74,10.7051
ORB,BRISK,3,8.00748,1.57605,113,79,9.58354
ORB,BRISK,4,8.36748,1.56015,109,85,9.92762
ORB,BRISK,5,8.35938,1.7811,125,79,10.1405
ORB,BRISK,6,7.86797,1.82472,130,92,9.69268
ORB,BRISK,7,8.65076,1.79734,129,90,10.4481
ORB,BRISK,8,8.56446,1.88055,127,88,10.445
ORB,BRISK,9,8.41903,1.7583,128,91,10.1773
AKAZE,BRISK,0,128.985,2.17766,166,0,131.163
AKAZE,BRISK,1,122.398,1.999,157,137,124.397
AKAZE,BRISK,2,124.291,2.51441,161,125,126.805
AKAZE,BRISK,3,124.15,3.16968,155,129,127.32
AKAZE,BRISK,4,119.718,2.98069,163,129,122.699
AKAZE,BRISK,5,118.312,2.20694,164,131,120.519
AKAZE,BRISK,6,121.813,2.22478,173,132,124.037
AKAZE,BRISK,7,125.618,2.78831,175,142,128.406
AKAZE,BRISK,8,124.382,3.41552,177,146,127.797
AKAZE,BRISK,9,147.503,3.20527,179,144,150.708
SIFT,BRISK,0,199.035,1.8922,138,0,200.928
SIFT,BRISK,1,174.464,1.81652,132,64,176.28
SIFT,BRISK,2,149.26,1.78916,124,66,151.049
SIFT,BRISK,3,169.846,1.91872,137,62,171.765
SIFT,BRISK,4,174.993,1.7916,134,66,176.785
SIFT,BRISK,5,170.852,1.91674,140,59,172.768
SIFT,BRISK,6,172.633,1.82997,137,64,174.463
SIFT,BRISK,7,144.9,1.91704,148,64,146.817
SIFT,BRISK,8,173.471,2.1315,159,67,175.602
SIFT,BRISK,9,171.757,1.89142,137,80,173.648
